name,sentence_id,,,,
Billina,1195,,,,
Scarecrow,1196,,,,
Scarecrow,1197,,,,
Scarecrow,1198,,,,
Tin Woodman,1199,,,,
Sawhorse,1199,,,,
Ozma,1202,,,,
Dorothy,1202,,,,
Sawhorse,1202,,,,
Scarecrow,1202,,,,
Ozma,1209,,,,
Tiktok,1214,,,,
Dorothy,1214,,,,
Nomes,1216,,,,
Nome King,1217,,,,
Dorothy,1220,,,,
Ozma,1220,,,,
Nomes,1221,,,,
Tin Woodman,1223,,,,
Tin Woodman,1226,,,,
Tin Woodman,1230,,,,
Tin Woodman,1235,,,,
Ozma,1236,,,,
Ozma,1238,,,,
Ozma,1239,,,,
Nome,1239,,,,
Nomes,1240,,,,
Tiktok,1241,,,,
Ozma,1242,,,,
Nome,1242,,,,
Nomes,1243,,,,
Tiktok,1244,,,,
Ozma,1244,,,,
Nome,1245,,,,
Ozma,1245,,,,
Nome King,1246,,,,
Scarecrow,1249,,,,
Dorothy,1251,,,,
Hungry Tiger,1254,,,,
Dorothy,1255,,,,
Nome,1255,,,,
Nomes,1256,,,,
Tin Woodman,1258,,,,
Ozma,1259,,,,
Ev,1260,,,,
Tiktok,1261,,,,
Ozma,1263,,,,
Dorothy,1263,,,,
Nome King,1266,,,,
Ozma,1270,,,,
Dorothy,1270,,,,
Santa Claus,1271,,,,
Dorothy,1272,,,,
Nome King,1272,,,,
Ozma,1274,,,,
Dorothy,1274,,,,
Nome King,1274,,,,
Nome King,1276,,,,
Dorothy,1277,,,,
Santa Claus,1277,,,,
Ozma,1277,,,,
Ev,1278,,,,
Ev,1280,,,,
Ozma,1281,,,,
Ev,1282,,,,
Dorothy,1283,,,,
Ev,1283,,,,
Nome King,1285,,,,
Dorothy,1287,,,,
Dorothy,1291,,,,
Dorothy,1293,,,,
Nome,1294,,,,
Ev,1295,,,,
Ozma,1297,,,,
Ev,1301,,,,
Ozma,1304,,,,
Nome King,1307,,,,
Ozma,1309,,,,
Nome King,1310,,,,
Ozma,1312,,,,
Ozma,1315,,,,
Nomes,1317,,,,
Ozma,1318,,,,
Oz,1319,,,,
Nome,1319,,,,
Nome,1319,,,,
Nomes,1321,,,,
Nome,1324,,,,
Earth,1325,,,,
Ozma,1327,,,,
Oz,1327,,,,
Nome King,1327,,,,
Tin Woodman,1328,,,,
Tiger,1331,,,,
Lion,1335,,,,
Nome,1335,,,,
Scarecrow,1336,,,,
Nome King,1337,,,,
Ozma,1339,,,,
Ozma,1340,,,,
Ev,1343,,,,
Ev,1345,,,,
Ozma,1346,,,,
Nome,1347,,,,
Ev,1348,,,,
Ev,1348,,,,
Ozma,1352,,,,
Nome King,1353,,,,
Ev,1356,,,,
Nome,1358,,,,
Ozma,1358,,,,
Dorothy,1360,,,,
Ozma,1362,,,,
Scarecrow,1365,,,,
Ozma,1368,,,,
Nome King,1370,,,,
Ozma,1373,,,,
Ozma,1378,,,,
Nome King,1379,,,,
Ozma,1383,,,,
Ev,1383,,,,
Ozma,1387,,,,
Ev,1388,,,,
Ev,1389,,,,
Nome,1389,,,,
Ev,1399,,,,
Nome King,1401,,,,
Nome King,1404,,,,
Dorothy,1407,,,,
Scarecrow,1407,,,,
Tin Woodman,1407,,,,
Tiktok,1408,,,,
Dorothy,1414,,,,
Tin Woodman,1415,,,,
Ozma,1416,,,,
Scarecrow,1417,,,,
Tin Woodman,1419,,,,
Nome,1419,,,,
Nome King,1423,,,,
Ho,1426,,,,
Scarecrow,1428,,,,
Tin Woodman,1429,,,,
Scarecrow,1434,,,,
Scarecrow,1436,,,,
Scarecrow,1443,,,,
Nome,1449,,,,
Nome,1452,,,,
Nome,1453,,,,
Dorothy,1453,,,,
Steward,1453,,,,
Nome,1453,,,,
Dorothy,1454,,,,
Scarecrow,1455,,,,
Tiktok,1455,,,,
Sawhorse,1456,,,,
Billina,1457,,,,
Dorothy,1460,,,,
Scarecrow,1460,,,,
Nome King,1462,,,,
Dorothy,1464,,,,
Steward,1470,,,,
Steward,1472,,,,
Steward,1474,,,,
Dorothy,1474,,,,
Scarecrow,1475,,,,
Tiktok,1475,,,,
Lion,1475,,,,
Tiger,1475,,,,
Sawhorse,1476,,,,
Steward,1476,,,,
Scarecrow,1477,,,,
Tiktok,1477,,,,
Sawhorse,1477,,,,
Steward,1478,,,,
Scarecrow,1478,,,,
Tin Woodman,1478,,,,
Tiktok,1480,,,,
Nome King,1481,,,,
Scarecrow,1482,,,,
Dorothy,1484,,,,
Billina,1484,,,,
Billina,1485,,,,
Scarecrow,1487,,,,
Scarecrow,1489,,,,
Dorothy,1491,,,,
Dorothy,1493,,,,
Cowardly Lion,1494,,,,
Dorothy,1497,,,,
Steward,1499,,,,
Billina,1500,,,,
Steward,1502,,,,
Ev,1503,,,,
Steward,1505,,,,
Ev,1507,,,,
Steward,1508,,,,
Steward,1510,,,,
Billina,1511,,,,
Steward,1512,,,,
Oz,1512,,,,
Steward,1516,,,,
Steward,1522,,,,
Nome,1523,,,,
Steward,1527,,,,
Gray,1528,,,,
Scarecrow,1529,,,,
Billina,1531,,,,
King,1531,,,,
Steward,1531,,,,
Dorothy,1533,,,,
Lion,1533,,,,
Tiger,1533,,,,
Tiger,1534,,,,
Nome King,1535,,,,
Steward,1538,,,,
Hungry Tiger,1541,,,,
Dorothy,1550,,,,
Tiktok,1550,,,,
Scarecrow,1551,,,,
Nome,1551,,,,
Dorothy,1555,,,,
Dorothy,1563,,,,
Dorothy,1568,,,,
Scarecrow,1569,,,,
Scarecrow,1572,,,,
Dorothy,1573,,,,
Dorothy,1574,,,,
Tiktok,1577,,,,
Dor,1579,,,,
Tiktok,1581,,,,
Nome,1583,,,,
Dorothy,1586,,,,
Tiktok,1587,,,,
Dorothy,1589,,,,
Tiktok,1590,,,,
Uncle Henry,1595,,,,
Ozma,1597,,,,
Timidly,1598,,,,
Ev,1601,,,,
Dorothy,1602,,,,
Dorothy,1606,,,,
Ev,1616,,,,
Evring,1616,,,,
Nomes,1617,,,,
Evring,1618,,,,
Dorothy,1618,,,,
Little Evring,1623,,,,
Dorothy,1624,,,,
Ev,1624,,,,
Nome King,1625,,,,
Dorothy,1626,,,,
Evring,1626,,,,
Dorothy,1627,,,,
Scarecrow,1627,,,,
Nome King,1627,,,,
Scarecrow,1629,,,,
Dorothy,1633,,,,
Scarecrow,1634,,,,
Scarecrow,1637,,,,
Ozma,1637,,,,
Nome King,1639,,,,
Billina,1643,,,,
Scarecrow,1643,,,,
Billina,1645,,,,
Billina,1654,,,,
Nomes,1659,,,,
Billina,1660,,,,
Billina,1667,,,,
Scarecrow,1669,,,,
Billina,1670,,,,
Scarecrow,1672,,,,
Scarecrow,1673,,,,
Billina,1674,,,,
Pshaw,1675,,,,
Billina,1678,,,,
Scarecrow,1683,,,,
Ev,1685,,,,
Billina,1689,,,,
Scarecrow,1689,,,,
Scarecrow,1693,,,,
Scarecrow,1697,,,,
Billina,1701,,,,
Billina,1705,,,,
Dorothy,1705,,,,
Evring,1705,,,,
Scarecrow,1706,,,,
Evring,1706,,,,
Prince,1707,,,,
Scarecrow,1707,,,,
Scarecrow,1708,,,,
Dorothy,1709,,,,
Dorothy,1710,,,,
Scarecrow,1710,,,,
Billina,1714,,,,
Billina,1722,,,,
Dorothy,1722,,,,
Evring,1726,,,,
Billina,1727,,,,
Billina,1729,,,,
Dorothy,1729,,,,
Billina,1731,,,,
Billina,1733,,,,
Dorothy,1733,,,,
Billina,1737,,,,
Billina,1739,,,,
Dorothy,1739,,,,
Billina,1742,,,,
Nome King,1742,,,,
Billina,1744,,,,
Ev,1747,,,,
Billina,1749,,,,
Ev,1751,,,,
Bill,1752,,,,
Dorothy,1752,,,,
Billina,1752,,,,
Billina,1758,,,,
O,1760,,,,
Billina,1761,,,,
Dorothy,1761,,,,
Billina,1768,,,,
Billina,1771,,,,
Nome King,1774,,,,
Evanna,1775,,,,
Evanna,1775,,,,
Billina,1777,,,,
Nome King,1778,,,,
Evrose,1780,,,,
Evardo,1780,,,,
Evring,1780,,,,
Princesses,1781,,,,
Evanna,1782,,,,
Evella,1782,,,,
Evirene,1782,,,,
Evardo,1783,,,,
Ev,1783,,,,
Billina,1785,,,,
Ev,1785,,,,
Billina,1788,,,,
Ozma,1788,,,,
Mayhap,1792,,,,
Billina,1794,,,,
Ozma,1797,,,,
Oz,1797,,,,
Ev,1797,,,,
Scarecrow,1798,,,,
Tin Woodman,1798,,,,
Billina,1799,,,,
Tiktok,1800,,,,
Tin Woodman,1800,,,,
Nome King,1800,,,,
Ozma,1801,,,,
Scarecrow,1801,,,,
Ozma,1803,,,,
Nome,1803,,,,
Billina,1804,,,,
Ozma,1805,,,,
Scarecrow,1807,,,,
Tiktok,1809,,,,
Ozma,1811,,,,
Tiktok,1813,,,,
Billina,1814,,,,
Nome,1814,,,,
Ozma,1815,,,,
Princesses,1815,,,,
Tiktok,1816,,,,
Scarecrow,1816,,,,
Billina,1816,,,,
Billina,1824,,,,
Dorothy,1824,,,,
Evring,1824,,,,
Nome,1824,,,,
Hippikaloric,1827,,,,
Dorothy,1828,,,,
Billina,1829,,,,
Dorothy,1830,,,,
Billina,1830,,,,
Ev,1831,,,,
Ozma,1831,,,,
Nome,1834,,,,
Dorothy,1836,,,,
Evring,1836,,,,
Lion,1836,,,,
Tiger,1836,,,,
Lion,1838,,,,
Tiger,1838,,,,
Nome,1840,,,,
Sawhorse,1844,,,,
Sawhorse,1848,,,,
Dorothy,1849,,,,
Sawhorse,1850,,,,
Sawhorse,1853,,,,
Sawhorse,1862,,,,
Dorothy,1862,,,,
Ev,1863,,,,
Nome King,1864,,,,
Billina,1868,,,,
Scarecrow,1868,,,,
Scarecrow,1873,,,,
Billina,1876,,,,
Scarecrow,1876,,,,
Ozma,1877,,,,
Ozma,1882,,,,
Ozma,1885,,,,
Nomes,1892,,,,
Nome King,1895,,,,
Ozma,1895,,,,
Scarecrow,1895,,,,
Billina,1895,,,,
Nomes,1901,,,,
Scarecrow,1904,,,,
Billina,1906,,,,
Dorothy,1906,,,,
Nome King,1907,,,,
Dorothy,1909,,,,
Dorothy,1910,,,,
Nome King,1911,,,,
Tiger,1911,,,,
Lion,1911,,,,
Steward,1912,,,,
Scarecrow,1913,,,,
Nomes,1914,,,,
Scarecrow,1914,,,,
Billina,1915,,,,
King,1919,,,,
Steward,1921,,,,
Nome King,1924,,,,
Dorothy,1927,,,,
Ozma,1927,,,,
Ev,1927,,,,
Billina,1928,,,,
Ev,1928,,,,
Scarecrow,1929,,,,
Nome,1930,,,,
Tin Woodman,1932,,,,
Ozma,1932,,,,
Dorothy,1932,,,,
Dorothy,1933,,,,
Billina,1935,,,,
Tin Woodman,1935,,,,
Dorothy,1936,,,,
Nome,1938,,,,
Ev,1938,,,,
Prince Evring,1938,,,,
Dorothy,1940,,,,
Tin Woodman,1940,,,,
Dorothy,1941,,,,
Tin Woodman,1942,,,,
Dorothy,1943,,,,
Ev,1945,,,,
Dorothy,1946,,,,
Dorothy,1954,,,,
Tin Woodman,1958,,,,
Ozma,1958,,,,
Dorothy,1959,,,,
Tin Woodman,1960,,,,
Dorothy,1961,,,,
Billina,1961,,,,
Nome,1962,,,,
Dorothy,1963,,,,
Scarecrow,1964,,,,
Dorothy,1966,,,,
Nick Chopper,1966,,,,
Tin Woodman,1966,,,,
Billina,1969,,,,
Dorothy,1970,,,,
Scarecrow,1970,,,,
Nome,1971,,,,
Nome King,1973,,,,
Ozma,1977,,,,
Dorothy,1980,,,,
Nome,1980,,,,
Scarecrow,1981,,,,
Nick,1982,,,,
Ozma,1985,,,,
Ev,1986,,,,
Dorothy,1986,,,,
Ozma,1986,,,,
Billina,1986,,,,
Scarecrow,1986,,,,
Tiktok,1986,,,,
Nome,1987,,,,
Ozma,1987,,,,
Nome King,1988,,,,
Dorothy,1988,,,,
Ev,1993,,,,
Nome,1993,,,,
Ozma,1994,,,,
Ev,1994,,,,
Tiger,1994,,,,
Dorothy,1996,,,,
Sawhorse,1996,,,,
Scarecrow,1996,,,,
Dorothy,2003,,,,
Nomes,2005,,,,
Ozma,2007,,,,
Lion,2008,,,,
Ozma,2008,,,,
Little Evring,2009,,,,
Dorothy,2009,,,,
Billina,2011,,,,
Ozma,2012,,,,
Ev,2012,,,,
Scarecrow,2013,,,,
Tiktok,2013,,,,
Tiktok,2015,,,,
Scarecrow,2016,,,,
Nick Chopper,2016,,,,
Tiktok,2018,,,,
Scarecrow,2020,,,,
Tin Woodman,2022,,,,
Ev,2023,,,,
Ev,2023,,,,
Little Evring,2024,,,,
Dorothy,2024,,,,
Sawhorse,2024,,,,
Billina,2025,,,,
Sawhorse,2025,,,,
Prince Evring,2026,,,,
Dorothy,2030,,,,
Billina,2031,,,,
Tin Woodman,2032,,,,
Dorothy,2033,,,,
Billina,2034,,,,
Evring,2036,,,,
Ev,2038,,,,
Tin Woodman,2040,,,,
Dorothy,2040,,,,
Prince,2040,,,,
Billina,2045,,,,
Scarecrow,2047,,,,
Tiktok,2047,,,,
Tin Woodman,2047,,,,
Ozma,2048,,,,
Tin Woodman,2049,,,,
Langwidere,2052,,,,
Ev,2053,,,,
Evardo Fifteenth,2054,,,,
Evardo,2055,,,,
Ev,2055,,,,
Wheelers,2056,,,,
Evardo,2057,,,,
Ozma,2058,,,,
Oz,2058,,,,
Dorothy,2058,,,,
Tiktok,2058,,,,
Billina,2058,,,,
Dorothy,2059,,,,
Ozma,2059,,,,
Ev,2060,,,,
Oz,2060,,,,
Uncle Henry,2061,,,,
Ev,2063,,,,
Ozma,2063,,,,
Ozma,2064,,,,
Tiktok,2065,,,,
Dorothy,2065,,,,
Ozma,2066,,,,
Billina,2066,,,,
Billina,2067,,,,
Munchkins,2068,,,,
Ozma,2068,,,,
Ozma,2069,,,,
Gillikins,2069,,,,
Munchkin,2070,,,,
Ozma,2071,,,,
Scarecrow,2071,,,,
Tin Woodman,2071,,,,
Dorothy,2072,,,,
Oz,2072,,,,
Ozma,2073,,,,
Jinjur,2074,,,,
Jinjur,2075,,,,
Dorothy,2076,,,,
Glinda the Sorceress,2076,,,,
Jinjur,2077,,,,
Ozma,2077,,,,
Ozma,2078,,,,
Jinjur,2079,,,,
Dorothy,2082,,,,
Ozma,2084,,,,
Ozma,2090,,,,
Oz,2091,,,,
Jack Pumpkinhead,2091,,,,
Ozma,2091,,,,
Oz,2091,,,,
Tin Woodman,2092,,,,
Scarecrow,2092,,,,
Dorothy,2093,,,,
Tiktok,2093,,,,
Ozma,2094,,,,
Dorothy,2094,,,,
Billina,2094,,,,
Lion,2096,,,,
Tiger,2096,,,,
Jellia Jamb,2097,,,,
Scarecrow,2097,,,,
Ozma,2098,,,,
Tin Woodman,2103,,,,
Ozma,2104,,,,
Omby Amby,2106,,,,
Omby Amby,2107,,,,
Ozma,2110,,,,
Jellia Jamb,2112,,,,
Tiger,2115,,,,
Dorothy,2117,,,,
Ozma,2117,,,,
Dorothy,2118,,,,
Ozma,2119,,,,
Ozma,2122,,,,
Dorothy,2124,,,,
Dorothy,2130,,,,
Toto,2130,,,,
Speckles,2130,,,,
Dorothy,2131,,,,
Uncle Henry,2132,,,,
Uncle Henry,2133,,,,
Dorothy,2135,,,,
Uncle Henry,2135,,,,
Ozma,2136,,,,
Ozma,2137,,,,
Dorothy,2138,,,,
Ozma,2140,,,,
Sawhorse,2140,,,,
Glinda,2141,,,,
Dorothy,2141,,,,
Henry,2143,,,,
Glinda,2144,,,,
Dorothy,2145,,,,
Oz,2151,,,,
Dorothy,2153,,,,
Ozma,2153,,,,
Uncle Henry,2154,,,,
Glinda,2155,,,,
Ozma,2156,,,,
Dorothy,2156,,,,
Dorothy,2157,,,,
Ozma,2157,,,,
Nome King,2157,,,,
Dorothy,2158,,,,
Tiktok,2159,,,,
Dorothy,2159,,,,
Ozma,2160,,,,
Billina,2161,,,,
Dorothy,2161,,,,
Dorothy,2163,,,,
Uncle Henry,2164,,,,
Dorothy,2164,,,,
Billina,2164,,,,
Dorothy,2165,,,,
Dorothy,2166,,,,
Ozma,2166,,,,
Nome King,2166,,,,
Uncle Henry,2166,,,,
Scarecrow,2167,,,,
Tiktok,2167,,,,
Uncle Henry,2167,,,,
Dorothy,2170,,,,
Uncle Henry,2171,,,,
Uncle Henry,2172,,,,