name,sentence_id,title,first,middle,last,suffix,nickname,gender
Kiki,571,none,Kiki,none,none,none,none,male
Kiki,577,none,Kiki,none,none,none,none,male
Nome,578,none,Nome,none,none,none,none,male
Ruggedo,578,none,Ruggedo,none,none,none,none,male
Kiki,579,none,Kiki,none,none,none,none,male
Kiki,581,none,Kiki,none,none,none,none,male
Nome,582,none,Nome,none,none,none,none,male
Kiki,584,none,Kiki,none,none,none,none,male
Ruggedo,585,none,Ruggedo,none,none,none,none,male
Kiki,586,none,Kiki,none,none,none,none,male
Nome,588,none,Nome,none,none,none,none,male
Kiki,590,none,Kiki,none,none,none,none,male
Ruggedo,592,none,Ruggedo,none,none,none,none,male
Kiki,594,none,Kiki,none,none,none,none,male
Kiki,596,none,Kiki,none,none,none,none,male
Ruggedo,596,none,Ruggedo,none,none,none,none,male
Ruggedo,596,none,Ruggedo,none,none,none,none,male
Nome,596,none,Nome,none,none,none,none,male
Pyrzqxgl,596,none,Pyrzqxgl,none,none,none,none,male
Ruggedo,598,none,Ruggedo,none,none,none,none,male
Nome,599,none,Nome,none,none,none,none,male
Kiki,600,none,Kiki,none,none,none,none,male
Arx,603,none,Arx,none,none,none,none,male
Arx,604,none,Arx,none,none,none,none,male
Tirrip,604,none,Tirrip,none,none,none,none,female
Tirrip,605,none,Tirrip,none,none,none,none,female
Wild Boar,605,none,Wild,none,Boar,none,none,female
Chipo,605,none,Chipo,none,none,none,none,male
Gugu,607,none,Gugu,none,none,none,none,male
Bru,611,none,Bru,none,none,none,none,male
Bear,611,none,Bear,none,none,none,none,male
Rango,611,none,Rango,none,none,none,none,male
Gray Ape,611,none,Gray,none,Ape,none,none,female
Loo,611,none,Loo,none,none,none,none,male
Unicorn,611,none,Unicorn,none,none,none,none,male
Gray Ape,614,none,Gray,none,Ape,none,none,female
Ruggedo,616,none,Ruggedo,none,none,none,none,male
Loo,619,none,Loo,none,none,none,none,male
Unicorn,619,none,Unicorn,none,none,none,none,male
Ruggedo,620,none,Ruggedo,none,none,none,none,male
Gugu,626,none,Gugu,none,none,none,none,male
Loo,626,none,Loo,none,none,none,none,male
Gugu,636,none,Gugu,none,none,none,none,male
Ruggedo,636,none,Ruggedo,none,none,none,none,male
Bru,637,none,Bru,none,none,none,none,male
Bear,637,none,Bear,none,none,none,none,male
Bear,638,none,Bear,none,none,none,none,male
Nome,639,none,Nome,none,none,none,none,male
Kiki,640,none,Kiki,none,none,none,none,male
Rango,644,none,Rango,none,none,none,none,male
Gray Ape,645,none,Gray,none,Ape,none,none,female
Unicorn,648,none,Unicorn,none,none,none,none,male
Gugu,652,none,Gugu,none,none,none,none,male
Ruggedo,652,none,Ruggedo,none,none,none,none,male
Nome,654,none,Nome,none,none,none,none,male
Bru the Bear,660,none,Bru the Bear,none,none,none,none,male
Gray Ape,662,none,Gray,none,Ape,none,none,female
Nome,663,none,Nome,none,none,none,none,male
Ruggedo,669,none,Ruggedo,none,none,none,none,male
Unicorn,671,none,Unicorn,none,none,none,none,male
Nome,674,none,Nome,none,none,none,none,male
Kiki Aru,676,none,Kiki,none,Aru,none,none,male
Ruggedo,677,none,Ruggedo,none,none,none,none,male
Unicorn,678,none,Unicorn,none,none,none,none,male
Bear,678,none,Bear,none,none,none,none,male
Unicorn,678,none,Unicorn,none,none,none,none,male
Ruggedo,683,none,Ruggedo,none,none,none,none,male
Nome,685,none,Nome,none,none,none,none,male
Gugu,688,none,Gugu,none,none,none,none,male
Loo,690,none,Loo,none,none,none,none,male
Unicorn,690,none,Unicorn,none,none,none,none,male
Unicorn,691,none,Unicorn,none,none,none,none,male
Gray Ape,692,none,Gray,none,Ape,none,none,female
Nome,698,none,Nome,none,none,none,none,male
Rango,702,none,Rango,none,none,none,none,male
Rango,705,none,Rango,none,none,none,none,male
Gray Ape,705,none,Gray,none,Ape,none,none,female
Bear,706,none,Bear,none,none,none,none,male
Gugu,707,none,Gugu,none,none,none,none,male
King,707,King,none,none,none,none,none,male
Ruggedo,708,none,Ruggedo,none,none,none,none,male
Loo,711,none,Loo,none,none,none,none,male
Kiki,712,none,Kiki,none,none,none,none,male
Unicorn,712,none,Unicorn,none,none,none,none,male
Ruggedo,713,none,Ruggedo,none,none,none,none,male
Nome,713,none,Nome,none,none,none,none,male
Kiki Aru,714,none,Kiki,none,Aru,none,none,male
Ozma,715,none,Ozma,none,none,none,none,female
Dorothy,715,none,Dorothy,none,none,none,none,female
Kiki,716,none,Kiki,none,none,none,none,male
Ruggedo,717,none,Ruggedo,none,none,none,none,male
Leopard,718,none,Leopard,none,none,none,none,male
Nome,719,none,Nome,none,none,none,none,male
Gugu,719,none,Gugu,none,none,none,none,male
Leopard,719,none,Leopard,none,none,none,none,male
Kiki,720,none,Kiki,none,none,none,none,male
Nome,720,none,Nome,none,none,none,none,male
Glass Cat,721,none,Glass,none,Cat,none,none,female
Trot,721,none,Trot,none,none,none,none,female
Cap'n Bill,721,none,Cap'n,none,Bill,none,none,male
Bill,724,none,Bill,none,none,none,none,male
Cap'n Bill,729,none,Cap'n,none,Bill,none,none,male
Glass Cat,731,none,Glass,none,Cat,none,none,female
Trot,736,none,Trot,none,none,none,none,female
Trot,740,none,Trot,none,none,none,none,female
Cap'n Bill,742,none,Cap'n,none,Bill,none,none,male
Cap'n,744,none,Cap'n,none,none,none,none,female
Bill,745,none,Bill,none,none,none,none,male
Bill,748,none,Bill,none,none,none,none,male
Trot,753,none,Trot,none,none,none,none,female
Glass Cat,754,none,Glass,none,Cat,none,none,female
Glass Cat,757,none,Glass,none,Cat,none,none,female
Cap'n Bill,759,none,Cap'n,none,Bill,none,none,male
Trot,760,none,Trot,none,none,none,none,female
Cap'n Bill,760,none,Cap'n,none,Bill,none,none,male
Cap'n Bill,768,none,Cap'n,none,Bill,none,none,male
Trot,773,none,Trot,none,none,none,none,female
Magic Flower,773,none,Magic,none,Flower,none,none,female
Glass Cat,774,none,Glass,none,Cat,none,none,female
Kalidahs,775,none,Kalidahs,none,none,none,none,female
Trot,779,none,Trot,none,none,none,none,female
Cap'n Bill,783,none,Cap'n,none,Bill,none,none,male
Bill,785,none,Bill,none,none,none,none,male
Kalidah,789,none,Kalidah,none,none,none,none,female
Cap'n Bill,790,none,Cap'n,none,Bill,none,none,male
Wade,790,none,Wade,none,none,none,none,male
Bill,794,none,Bill,none,none,none,none,male
Kalidah,795,none,Kalidah,none,none,none,none,female
Bill,798,none,Bill,none,none,none,none,male
Kalidah,798,none,Kalidah,none,none,none,none,female
Oz,798,none,Oz,none,none,none,none,male
Trot,798,none,Trot,none,none,none,none,female
Cap'n Bill,801,none,Cap'n,none,Bill,none,none,male
Trot,801,none,Trot,none,none,none,none,female
Kalidah,802,none,Kalidah,none,none,none,none,female
Kalidahs,803,none,Kalidahs,none,none,none,none,female
Cap'n Bill,804,none,Cap'n,none,Bill,none,none,male
Kalidah,806,none,Kalidah,none,none,none,none,female
Cap'n Bill,808,none,Cap'n,none,Bill,none,none,male
Kalidah,813,none,Kalidah,none,none,none,none,female
Ozma,818,none,Ozma,none,none,none,none,female
Kalidah,819,none,Kalidah,none,none,none,none,female
Kalidahs,821,none,Kalidahs,none,none,none,none,female
Trot,822,none,Trot,none,none,none,none,female
Cap'n Bill,824,none,Cap'n,none,Bill,none,none,male
Kalidah,825,none,Kalidah,none,none,none,none,female
Glass Cat,827,none,Glass,none,Cat,none,none,female
Magic Flower,827,none,Magic,none,Flower,none,none,female
Kalidahs,830,none,Kalidahs,none,none,none,none,female
Trot,831,none,Trot,none,none,none,none,female
Glass Cat,832,none,Glass,none,Cat,none,none,female
Cap'n Bill,834,none,Cap'n,none,Bill,none,none,male
Cap'n Bill,839,none,Cap'n,none,Bill,none,none,male
Trot,839,none,Trot,none,none,none,none,female
Trot,845,none,Trot,none,none,none,none,female
Cap'n Bill,845,none,Cap'n,none,Bill,none,none,male
Magic Flower,845,none,Magic,none,Flower,none,none,female
Cap'n Bill,846,none,Cap'n,none,Bill,none,none,male
Flower,848,none,Flower,none,none,none,none,female
Cap'n,849,none,Cap'n,none,none,none,none,female
Bill,850,none,Bill,none,none,none,none,male
Ozma,851,none,Ozma,none,none,none,none,female
Glass Cat,851,none,Glass,none,Cat,none,none,female
Trot,854,none,Trot,none,none,none,none,female
Trot,858,none,Trot,none,none,none,none,female
Cap'n,860,none,Cap'n,none,none,none,none,female
Bill,861,none,Bill,none,none,none,none,male
Cap'n Bill,865,none,Cap'n,none,Bill,none,none,male
Cap'n,869,none,Cap'n,none,none,none,none,female
Cap'n Bill,873,none,Cap'n,none,Bill,none,none,male
Trot,873,none,Trot,none,none,none,none,female
Kalidah,876,none,Kalidah,none,none,none,none,female
Cap'n,878,none,Cap'n,none,none,none,none,female
Bill,879,none,Bill,none,none,none,none,male
Cap'n Bill,879,none,Cap'n,none,Bill,none,none,male
Trot,879,none,Trot,none,none,none,none,female
Kalidah,881,none,Kalidah,none,none,none,none,female
Kalidah,882,none,Kalidah,none,none,none,none,female
Kalidah King,888,none,Kalidah,none,King,none,none,male
Trot,890,none,Trot,none,none,none,none,female
Cap'n Bill,890,none,Cap'n,none,Bill,none,none,male
Kalidahs,890,none,Kalidahs,none,none,none,none,female
Kalidah,891,none,Kalidah,none,none,none,none,female
Cap'n Bill,891,none,Cap'n,none,Bill,none,none,male
Cap'n,895,none,Cap'n,none,none,none,none,female
Trot,896,none,Trot,none,none,none,none,female
Glinda,898,none,Glinda,none,none,none,none,female
Wizard,901,none,Wizard,none,none,none,none,male
Trot,903,none,Trot,none,none,none,none,female
Cap'n Bill,905,none,Cap'n,none,Bill,none,none,male
Wizard,906,none,Wizard,none,none,none,none,male
Wizard,908,none,Wizard,none,none,none,none,male
Trot,909,none,Trot,none,none,none,none,female
Wizard,912,none,Wizard,none,none,none,none,male
Cap'n,916,none,Cap'n,none,none,none,none,female
Glass Cat,918,none,Glass,none,Cat,none,none,female
Wizard,918,none,Wizard,none,none,none,none,male
Rango,920,none,Rango,none,none,none,none,male
Gray Ape,920,none,Gray,none,Ape,none,none,female
Leopard Gugu,921,none,Leopard,none,Gugu,none,none,male
Bru the Bear,922,none,Bru the Bear,none,none,none,none,male
Loo the Unicorn,922,none,Loo the Unicorn,none,none,none,none,male
Rango,922,none,Rango,none,none,none,none,male
Gray Ape,922,none,Gray,none,Ape,none,none,female
King,922,King,none,none,none,none,none,male
Kiki Aru,922,none,Kiki,none,Aru,none,none,male
Hyup,922,none,Hyup,none,none,none,none,male
Gugu,927,none,Gugu,none,none,none,none,male
Gugu,928,none,Gugu,none,none,none,none,male
Leopard,929,none,Leopard,none,none,none,none,male
Ruggedo,935,none,Ruggedo,none,none,none,none,male
Nome,935,none,Nome,none,none,none,none,male
Gugu,935,none,Gugu,none,none,none,none,male
Kiki,938,none,Kiki,none,none,none,none,male
Nome,939,none,Nome,none,none,none,none,male
Ruggedo,939,none,Ruggedo,none,none,none,none,male
Nome,940,none,Nome,none,none,none,none,male
Ruggedo,941,none,Ruggedo,none,none,none,none,male
Ozma,944,none,Ozma,none,none,none,none,female
Ozma,947,none,Ozma,none,none,none,none,female
Oz,947,none,Oz,none,none,none,none,male
Nome,949,none,Nome,none,none,none,none,male
Ruggedo,950,none,Ruggedo,none,none,none,none,male
Nome,950,none,Nome,none,none,none,none,male
Oz,954,none,Oz,none,none,none,none,male
Nome,957,none,Nome,none,none,none,none,male
Tiger,958,none,Tiger,none,none,none,none,male
Ruggedo,959,none,Ruggedo,none,none,none,none,male
Oz,963,none,Oz,none,none,none,none,male
Loo,966,none,Loo,none,none,none,none,male
Unicorn,966,none,Unicorn,none,none,none,none,male
Gugu,968,none,Gugu,none,none,none,none,male
Gugu,975,none,Gugu,none,none,none,none,male
Ruggedo,982,none,Ruggedo,none,none,none,none,male
Nome,982,none,Nome,none,none,none,none,male
Lion,986,none,Lion,none,none,none,none,male
Tiger,986,none,Tiger,none,none,none,none,male
Gugu,987,none,Gugu,none,none,none,none,male
Gugu,991,none,Gugu,none,none,none,none,male
Gugu,992,none,Gugu,none,none,none,none,male
Leopard,992,none,Leopard,none,none,none,none,male
Lion,993,none,Lion,none,none,none,none,male
Gugu,994,none,Gugu,none,none,none,none,male
Gugu,996,none,Gugu,none,none,none,none,male
of Beasts,998,none,of,none,Beasts,none,none,male
Gugu,1000,none,Gugu,none,none,none,none,male
Dorothy,1004,none,Dorothy,none,none,none,none,female
Gugu,1010,none,Gugu,none,none,none,none,male
King,1010,King,none,none,none,none,none,male
Gugu,1015,none,Gugu,none,none,none,none,male
Gugu,1016,none,Gugu,none,none,none,none,male
Leopard,1017,none,Leopard,none,none,none,none,male
Dorothy,1019,none,Dorothy,none,none,none,none,female
Lion,1019,none,Lion,none,none,none,none,male
Wizard of Oz,1020,none,Wizard of Oz,none,none,none,none,male
Hungry Tiger,1021,none,Hungry,none,Tiger,none,none,male
Loo,1022,none,Loo,none,none,none,none,male
Tiger,1023,none,Tiger,none,none,none,none,male
Loo,1025,none,Loo,none,none,none,none,male
Unicorn,1025,none,Unicorn,none,none,none,none,male
Tiger,1026,none,Tiger,none,none,none,none,male
Ruggedo,1028,none,Ruggedo,none,none,none,none,male
Nome,1028,none,Nome,none,none,none,none,male
Nomes,1029,none,Nomes,none,none,none,none,male
Wizard,1030,none,Wizard,none,none,none,none,male
Dorothy,1030,none,Dorothy,none,none,none,none,female
Kiki Aru,1034,none,Kiki,none,Aru,none,none,male
Ruggedo,1034,none,Ruggedo,none,none,none,none,male
Nome,1034,none,Nome,none,none,none,none,male
Oz,1034,none,Oz,none,none,none,none,male
Kiki,1035,none,Kiki,none,none,none,none,male
Ruggedo,1035,none,Ruggedo,none,none,none,none,male
Nomes,1035,none,Nomes,none,none,none,none,male
Kiki Aru,1036,none,Kiki,none,Aru,none,none,male
Wizard,1036,none,Wizard,none,none,none,none,male
Wizard,1036,none,Wizard,none,none,none,none,male
Oz,1036,none,Oz,none,none,none,none,male
Hyup,1037,none,Hyup,none,none,none,none,male
Cowardly Lion,1037,none,Cowardly,none,Lion,none,none,male
Gugu,1037,none,Gugu,none,none,none,none,male
King,1037,King,none,none,none,none,none,male
Pyrzqxgl,1038,none,Pyrzqxgl,none,none,none,none,male
Wizard,1039,none,Wizard,none,none,none,none,male
Kiki,1040,none,Kiki,none,none,none,none,male
Fox,1040,none,Fox,none,none,none,none,male
Dorothy,1042,none,Dorothy,none,none,none,none,female
Mercy,1042,none,Mercy,none,none,none,none,female
Dorothy,1043,none,Dorothy,none,none,none,none,female
Cowardly Lion,1044,none,Cowardly,none,Lion,none,none,male
Kiki,1045,none,Kiki,none,none,none,none,male
Munchkin,1045,none,Munchkin,none,none,none,none,male
Munchkin,1046,none,Munchkin,none,none,none,none,male
Ruggedo,1047,none,Ruggedo,none,none,none,none,male
Nome,1047,none,Nome,none,none,none,none,male
Kiki,1047,none,Kiki,none,none,none,none,male
Kiki,1047,none,Kiki,none,none,none,none,male
Kiki,1048,none,Kiki,none,none,none,none,male
Nome,1049,none,Nome,none,none,none,none,male
Ruggedo,1049,none,Ruggedo,none,none,none,none,male
Hungry Tiger,1050,none,Hungry,none,Tiger,none,none,male
Ruggedo,1051,none,Ruggedo,none,none,none,none,male
Kiki,1051,none,Kiki,none,none,none,none,male
Hungry Tiger,1051,none,Hungry,none,Tiger,none,none,male
Kiki,1052,none,Kiki,none,none,none,none,male
Tiger,1052,none,Tiger,none,none,none,none,male
Pyrzqxgl,1052,none,Pyrzqxgl,none,none,none,none,male
Kiki,1054,none,Kiki,none,none,none,none,male
Gugu,1055,none,Gugu,none,none,none,none,male
King,1055,King,none,none,none,none,none,male
Kiki,1056,none,Kiki,none,none,none,none,male
Gugu,1056,none,Gugu,none,none,none,none,male
Gugu,1057,none,Gugu,none,none,none,none,male
Rango,1057,none,Rango,none,none,none,none,male
Gray Ape,1057,none,Gray,none,Ape,none,none,female
Bru,1057,none,Bru,none,none,none,none,male
Bear,1057,none,Bear,none,none,none,none,male
Loo the Unicorn,1057,none,Loo the Unicorn,none,none,none,none,male
Munchkin,1063,none,Munchkin,none,none,none,none,male
Rabbit,1063,none,Rabbit,none,none,none,none,male
Fox,1064,none,Fox,none,none,none,none,male
Lamb,1064,none,Lamb,none,none,none,none,female
Rabbit,1065,none,Rabbit,none,none,none,none,male
Dorothy,1066,none,Dorothy,none,none,none,none,female
Lamb,1066,none,Lamb,none,none,none,none,female
Wizard,1067,none,Wizard,none,none,none,none,male
Fox,1067,none,Fox,none,none,none,none,male
Munchkin,1068,none,Munchkin,none,none,none,none,male
Rabbit,1069,none,Rabbit,none,none,none,none,male
Gugu,1070,none,Gugu,none,none,none,none,male
Goose,1071,none,Goose,none,none,none,none,male
Ruggedo,1071,none,Ruggedo,none,none,none,none,male
Nome,1071,none,Nome,none,none,none,none,male
Goose,1072,none,Goose,none,none,none,none,male
Kiki Aru,1073,none,Kiki,none,Aru,none,none,male
Wizard,1073,none,Wizard,none,none,none,none,male
Wizard,1074,none,Wizard,none,none,none,none,male
Kiki Aru,1076,none,Kiki,none,Aru,none,none,male
Hyup,1076,none,Hyup,none,none,none,none,male
Wizard,1077,none,Wizard,none,none,none,none,male
Kiki,1078,none,Kiki,none,none,none,none,male
Wizard,1079,none,Wizard,none,none,none,none,male
Fox,1079,none,Fox,none,none,none,none,male
Kiki Aru,1081,none,Kiki,none,Aru,none,none,male
Dorothy the Lamb,1082,none,Dorothy the Lamb,none,none,none,none,female
Goose,1084,none,Goose,none,none,none,none,male
Wizard,1084,none,Wizard,none,none,none,none,male
Wizard,1084,none,Wizard,none,none,none,none,male
Ruggedo,1084,none,Ruggedo,none,none,none,none,male
Nome,1084,none,Nome,none,none,none,none,male
Ruggedo,1085,none,Ruggedo,none,none,none,none,male
Kiki,1085,none,Kiki,none,none,none,none,male
Kiki,1086,none,Kiki,none,none,none,none,male
Nome,1087,none,Nome,none,none,none,none,male
Hyup,1087,none,Hyup,none,none,none,none,male
Wizard,1088,none,Wizard,none,none,none,none,male
Goose,1088,none,Goose,none,none,none,none,male
Kiki Aru,1088,none,Kiki,none,Aru,none,none,male
Kiki Aru,1089,none,Kiki,none,Aru,none,none,male
Kiki Aru,1091,none,Kiki,none,Aru,none,none,male
Fox,1092,none,Fox,none,none,none,none,male
Lamb,1092,none,Lamb,none,none,none,none,female
Rabbit,1092,none,Rabbit,none,none,none,none,male
Goose,1093,none,Goose,none,none,none,none,male
Wizard,1093,none,Wizard,none,none,none,none,male
Dorothy,1094,none,Dorothy,none,none,none,none,female
Gugu,1096,none,Gugu,none,none,none,none,male
Goose,1096,none,Goose,none,none,none,none,male
Dorothy,1098,none,Dorothy,none,none,none,none,female
Glinda,1099,none,Glinda,none,none,none,none,female
Good,1099,none,Good,none,none,none,none,female
Wizard Fox,1100,none,Wizard,none,Fox,none,none,male
Gugu,1101,none,Gugu,none,none,none,none,male
Glinda,1101,none,Glinda,none,none,none,none,female
Fox,1104,none,Fox,none,none,none,none,male
Oz,1104,none,Oz,none,none,none,none,male
Wizard,1104,none,Wizard,none,none,none,none,male
Cowardly Lion,1105,none,Cowardly,none,Lion,none,none,male
Gugu,1106,none,Gugu,none,none,none,none,male
Ozma,1107,none,Ozma,none,none,none,none,female
Wizard,1107,none,Wizard,none,none,none,none,male
Ozma,1108,none,Ozma,none,none,none,none,female
Dorothy,1111,none,Dorothy,none,none,none,none,female
Cowardly Lion,1113,none,Cowardly,none,Lion,none,none,male
Dorothy,1114,none,Dorothy,none,none,none,none,female
Cap'n Bill,1116,none,Cap'n,none,Bill,none,none,male
Trot,1118,none,Trot,none,none,none,none,female
Cap'n Bill,1118,none,Cap'n,none,Bill,none,none,male
Pink Kitten,1122,none,Pink,none,Kitten,none,none,female
Pink Kitten,1123,none,Pink,none,Kitten,none,none,female
Glass Cat,1124,none,Glass,none,Cat,none,none,female
Eureka,1125,none,Eureka,none,none,none,none,female
Glass Cat,1126,none,Glass,none,Cat,none,none,female
Toto,1126,none,Toto,none,none,none,none,male
Dorothy,1126,none,Dorothy,none,none,none,none,female
Cat,1127,none,Cat,none,none,none,none,male
Dorothy,1128,none,Dorothy,none,none,none,none,female
Toto,1128,none,Toto,none,none,none,none,male
Cat,1129,none,Cat,none,none,none,none,male
Glass Cat,1131,none,Glass,none,Cat,none,none,female
Toto,1132,none,Toto,none,none,none,none,male
Wizard,1132,none,Wizard,none,none,none,none,male
Wizard,1134,none,Wizard,none,none,none,none,male
Trot,1134,none,Trot,none,none,none,none,female
